symbol,underlying
ABGSEC,Aditya Birla Sun Life CRISIL Broad Based Gilt ETF
ABSL10BANK,BSE Top 10 Banks Index
ABSLBANETF,NiftyBank
ABSLLIQUID,AdityaBirlaSunLifeCRISILOvernightFundAIIndexETF
ABSLMSCIN,MSCI India Index
ABSLNN50ET,NiftyNext50
ABSLPSE,AdityaBirlaSunLifeNiftyPSEETF
ALPHA,NIFTYAlpha50Index
ALPHAETF,MiraeAssetNifty200Alpha30ETF
ALPL30IETF,NiftyAlphaLow-Volatility30Index
AONEGOLD,Domestic price of Gold
AONELIQUID,Nifty 1D Rate Index
AONENIFTY,Nifty 50 Index
AONESILVER,Domestic price of Silver
AONETMMQ50,Nifty Total Market Momentum Quality 50 TRI
AONETOTAL,Nifty Total Market Index
AUTOBEES,NiftyAutoIndex
AUTOIETF,NiftyAutoIndex
BANK10ADD,BSE Top 10 Banks Index (TRI)
BANK10BETF,Index
BANKADD,DSPNiftyBankETF
BANKBEES,NiftyBank
BANKBETA,NiftyBankIndex
BANKBETF,BajajFinservNiftyBankETF
BANKETF,MiraeAssetNiftyBankETF
BANKIETF,NiftyBankIndex
BANKNIFTY1,NiftyBank
BANKPSU,Nifty PSU Bank Total Return Index
BBETF0432,NiftyBHARATBondIndex-April2032
BBNPNBETF,Baroda BNP Paribas NIFTY Bank ETF
BBNPPGOLD,BarodaBNPParibasGoldETF
BFSI,NiftyFinancialServicesIndex
BNKETFAXIS,NiftyBank
BSE500IETF,S&PBSE500index
BSLGOLDETF,Gold
BSLNIFTY,Nifty50
BSLSENETFG,BSESENSEXIndex
CASHIETF,BSE Liquid Rate Index
CEMNTGROWW,Nifty Cements Index TRI
CHEMICAL,Nifty Chemicals Index (TRI)
CHOICEGOLD,Gold
COMMOIETF,ICICIPrudentialNiftyCommoditiesETF
CONS,KotakNiftyIndiaConsumptionETF
CONSUMAXIS,NIFTYIndiaConsumptionIndex
CONSUMBEES,NiftyConsumption
CONSUMER,Nifty India New Age Consumption
CONSUMIETF,NiftyIndiaConsumptionIndex
CPSEETF,NiftyCPSE
DEFENCE,BSE India Defence
DIVIDEND,BSE 500 Dividend Leaders
DIVOPPBEES,NiftyDivOpps50
EBANKNIFTY,Edelweiss Nifty Bank ETF
EBBETF0430,NiftyBHARATBond
EBBETF0431,NiftyBHARATBondIndex April2031
EBBETF0433,BHARATBondETF-April2033
ECAPINSURE,Edelweiss BSE Capital Markets & Insurance ETF
EGOLD,EdelweissGoldETF
ELIQUID,Nifty 1D Rate Index (Debt Index)
ELM250,Nifty LargeMidcap 250 TRI
EMETAL,Nifty Metal Total Return Index
EMULTIMQ,Nifty500 Multicap Momentum Quality 50 Total Return Index
ENERGY,Nifty Energy
ENEXT50,Nifty Next 50 Total Return Index
ENIFTY,Nifty 50 TRI
EQUAL200,BSE 200 Equal Weight
EQUAL50,Nifty50 Equal Weight
EQUAL50ADD,NIFTY50EqualWeightIndex
ESENSEX,BSE Sensex TRI
ESG,Nifty100ESGSectorLeadersTotalReturnIndex
ESILVER,EdelweissSilverETF
EVIETF,Nifty EV & New Age Automotive Index
EVINDIA,Nifty EV and New Age Automotive Total Return Index
FINIETF,ICICIPrudentialNiftyFinancialServicesEx-BankETF
FLEXIADD,Nifty500 Flexicap Quality 30 TRI
FMCGADD,Nifty FMCG Index (TRI)
FMCGIETF,NiftyFMCGIndex
GILT10BETA,UTINifty10yrBenchmarkG-SecETF
GILT5BETA,UTINifty5yrBenchmarkG-SecETF
GILT5YBEES,Nifty5yrBenchmarkG-SecIndex
GOLD1,Gold
GOLD360,Commodity   Gold
GOLDADD,DSPGOLDETF
GOLDAXIS,Gold
GOLDBEES,Gold
GOLDBETA,Gold
GOLDBND,Commodity - Gold
GOLDCASE,ZerodhaGoldETF
GOLDETF,MiraeAssetGoldETF
GOLDIETF,Gold
GROWWCAPM,Nifty Capital Markets Index
GROWWCHEM,Nifty Chemicals Index - TRI
GROWWDEFNC,Nifty India Defence Index- Total Return Inde
GROWWEV,Groww Nifty EV & New Age Automotive ETF
GROWWGOLD,Commodity
GROWWHOSPI,BSE Hospitals Index
GROWWLIQID,Nifty 1D Rate Index
GROWWLOVOL,Nifty 500 Low Volatility 50 Index   TRI
GROWWMC150,Nifty Midcap 150 Index - TRI
GROWWMETAL,Nifty Metal Index
GROWWMOM50,Nifty 500 Momentum 50 Index- Total Return Index
GROWWN200,Nifty 200 Index- Total Return Index
GROWWNET,Index
GROWWNIFTY,Nifty 50 Index  - TRI
GROWWNXT50,Index
GROWWPOWER,BSE Power Index - TRI
GROWWPSE,Nifty PSE Index � TRI
GROWWPSUBK,Nifty PSU Bank Index - TRI
GROWWRAIL,Nifty India Railways PSU Index
GROWWRLTY,Index
GROWWSC250,Nifty Smallcap 250 Index - TRI
GROWWSLVR,Commodity-Silver
GSEC10ABSL,CRISIL 10 Year Gilt ETF
GSEC10IETF,ICICIPrudentialNifty10yrBenchmarkG-SecETF
GSEC10YEAR,MiraeAssetNifty8-13YrG-SecETF
GSEC5IETF,Nifty5yrBenchmarkG-SecIndex
HDFCBSE500,HDFCS&PBSE500ETF
HDFCGOLD,Gold
HDFCGROWTH,HDFCNIFTYGrowthSectors15ETF
HDFCLIQUID,HDFCNifty1DRateLiquidETF
HDFCLOWVOL,HDFCNIFTY100LowVolatility30ETF
HDFCMID150,HDFCNIFTYMidcap150ETF
HDFCMOMENT,HDFCNIFTY200Momentum30ETF
HDFCNEXT50,HDFCNIFTYNEXT50ETF
HDFCNIF100,HDFCNIFTY100ETF
HDFCNIFBAN,NIFTYBankIndex
HDFCNIFIT,HDFCNIFTYITETF
HDFCNIFTY,Nifty50
HDFCNIMEG,Nifty Metal Index TRI
HDFCPSUBK,HDFCNIFTYPSUBANKETF
HDFCPVTBAN,HDFCNIFTYPrivateBankETF
HDFCQUAL,HDFCNIFTY100Quality30ETF
HDFCSENSEX,SENSEX
HDFCSILVER,HDFCSilverETF
HDFCSML250,HDFCNIFTYSmallcap250ETF
HDFCVALUE,HDFCNIFTY50Value20ETF
HEALTHADD,DSPNiftyHealthcareETF
HEALTHAXIS,NiftyHealthcareIndex
HEALTHCARE,Nifty 500 Healthcare Index
HEALTHIETF,NiftyHealthcareIndex
HEALTHY,NiftyHealthcareTRIIndex
HNGSNGBEES,HangSengIndex
HSBCGOLD,Commodity
HYBRIDETF,Nifty200 Momentum 30 Plus 8-13 yr G-Sec 50:50 Total Return Index
ICICIB22,S&PBSEBHARAT22index
IDFNIFTYET,NIFTY50
INFRA,Nifty�India�Infrastructure�&�Logistics
INFRABEES,NiftyInfra
INFRAIETF,ICICIPrudentialNiftyInfrastructureETF
INTERNET,Equity Index
IT,NIFTYITIndex
ITADD,DSPNiftyITETF
ITAXIS,NIFTYITIndex
ITBEES,NiftyIT
ITBETA,UTINiftyITETF
ITETF,MiraeAssetNiftyITETF
ITIETF,NIFTYITIndex
IVZINGOLD,Gold
IVZINNIFTY,Nifty50
JUNIORBEES,Nippon India ETF Nifty Next 50 Junior BeES
LICMFGOLD,Gold
LICNETFGSC,GSEC10NSEIndex
LICNETFN50,Nifty50
LICNETFSEN,SENSEX
LICNFNHGP,Nifty100
LICNMID100,LICMFNiftyMidcap100ETF
LIQGRWBEES,Liquid
LIQUID,MiraeAssetNifty1DRateLiquidETF
LIQUID1,KotakNifty1DRateLiquidETF
LIQUIDADD,DSPS&PBSELiquidRateETF
LIQUIDBEES,GovernmentSecurities
LIQUIDBETA,Nifty 1D Rate Index
LIQUIDBETF,BajajFinservNifty1DRateLiquidETF
LIQUIDCASE,ZerodhaNifty1DRateLiquidETF
LIQUIDETF,Nifty1Drateindex
LIQUIDIETF,S&PBSELiquidRateIndex.
LIQUIDPLUS,Nifty 1D Rate Index
LIQUIDSBI,SBINIFTY1DRateETF
LIQUIDSHRI,SHRIRAM NIFTY 1D RATE LIQUID ETF
LOWVOL,MiraeAssetNifty100LowVolatility30ETF
LOWVOL1,KotakNifty100LowVol30ETF
LOWVOLIETF,Nifty100LowVolatility30Index
LTGILTBEES,S&PBSEMidcapSelectIndex
LTGILTCASE,Nifty 8-13 Yr G-Sec Index
MAFANG,NYSEFANG+TotalReturnIndex
MAHKTECH,HangSengTECHTotalReturnIndex
MAKEINDIA,NiftyIndiaManufacturingTotalReturnIndex
MANUFGBEES,Nifty India Manufacturing TRI
MASPTOP50,S&P500Top50TotalReturnIndex
METAL,Nifty Metal Total Return Index
METALIETF,Nifty Metal Index
MID150,Nifty Midcap 150 Index
MID150BEES,NiftyMidcap150
MID150CASE,ZerodhaNiftyMidcap150ETF
MIDCAP,NiftyMidcap50Index
MIDCAPADD,Nifty Midcap 150 Index
MIDCAPBETA,UTINiftyMidcap150ExchangeTradedFund(ETF)
MIDCAPETF,MiraeAssetMutualFund-MiraeAssetNiftyMidcap150ETF
MIDCAPIETF,NiftyMidcap150
MIDQ50ADD,NiftyMidcap150Quality50Index
MIDSELIETF,NiftyGS813Yr
MIDSMALL,MiraeAssetNiftyMidSmallcap400MomentumQuality100ETF
MNC,KotakNiftyMNCETF
MOALPHA50,Nifty Alpha 50 Total Return Index
